                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 2.5195,                 3.2833,                0.56375,                0.09749,                0.06452,                0.01976,                0.00377,                  2.388,                 3.9121,                0.55041,              0.0017683,              0.0017683,              0.0017683
                    119,                 2.6319,                  3.461,                0.64712,                0.09749,                0.06452,                0.01976,                0.00377,                  2.388,                 3.9121,                0.55041,              0.0017664,              0.0017664,              0.0017664
                    120,                  2.642,                 3.1873,                0.62415,                0.09749,                0.06452,                0.01976,                0.00377,                  2.388,                 3.9121,                0.55041,              0.0017644,              0.0017644,              0.0017644
                    121,                 2.5045,                  3.159,                0.59906,                0.09261,                0.03294,                0.01479,                0.00304,                 2.4122,                 3.8565,                0.54351,              0.0017624,              0.0017624,              0.0017624
                    122,                 3.2098,                 3.5599,                0.70839,                0.09261,                0.03294,                0.01479,                0.00304,                 2.4122,                 3.8565,                0.54351,              0.0017604,              0.0017604,              0.0017604
                    123,                 2.6703,                 3.2179,                0.56514,                0.12233,                0.03226,                0.01309,                0.00285,                 2.3643,                 3.7437,                0.53832,              0.0017584,              0.0017584,              0.0017584
                    124,                 2.3761,                 2.9329,                0.54527,                0.12233,                0.03226,                0.01309,                0.00285,                 2.3643,                 3.7437,                0.53832,              0.0017565,              0.0017565,              0.0017565
                    125,                 2.8618,                 3.4149,                0.65473,                0.12233,                0.03226,                0.01309,                0.00285,                 2.3643,                 3.7437,                0.53832,              0.0017545,              0.0017545,              0.0017545
                    126,                 2.7473,                 3.0493,                  0.692,                0.13776,                0.04301,                0.02577,                0.00432,                 2.3053,                 3.5902,                0.53806,              0.0017525,              0.0017525,              0.0017525
                    127,                 2.6151,                 3.2189,                0.63215,                0.13776,                0.04301,                0.02577,                0.00432,                 2.3053,                 3.5902,                0.53806,              0.0017505,              0.0017505,              0.0017505
                    128,                 2.5053,                 3.2041,                0.55542,                0.24543,                0.08747,                0.05461,                0.00875,                 2.3251,                 3.5126,                0.54451,              0.0017485,              0.0017485,              0.0017485
